dataset,method,mode,repetition,accuracy,balacc
Strawberry,SVM,pretrained-small,6,0.9513513513513514,0.9520626432391138
Strawberry,SVM,pretrained-small,7,0.9513513513513514,0.9520626432391138
Strawberry,SVM,pretrained-small,8,0.9513513513513514,0.9520626432391138
Strawberry,SVM,pretrained-small,9,0.9513513513513514,0.9520626432391138
Strawberry,SVM,pretrained-small,10,0.9513513513513514,0.9520626432391138
ProximalPhalanxOutlineCorrect,SVM,fine-tune,1,0.7560137457044673,0.6433526327288617
ProximalPhalanxOutlineCorrect,NN,fine-tune,1,0.8281786941580757,0.7574830675114703
ProximalPhalanxOutlineCorrect,SVM,fine-tune,2,0.7560137457044673,0.6433526327288617
ProximalPhalanxOutlineCorrect,NN,fine-tune,2,0.8041237113402062,0.6989840506882238
ProximalPhalanxOutlineCorrect,SVM,fine-tune,3,0.7560137457044673,0.6433526327288617
ProximalPhalanxOutlineCorrect,NN,fine-tune,3,0.7938144329896907,0.7849573956740223
ProximalPhalanxOutlineCorrect,SVM,fine-tune,4,0.7560137457044673,0.6433526327288617
ProximalPhalanxOutlineCorrect,NN,fine-tune,4,0.8350515463917526,0.80049705046974
ProximalPhalanxOutlineCorrect,SVM,fine-tune,5,0.7560137457044673,0.6433526327288617
ProximalPhalanxOutlineCorrect,NN,fine-tune,5,0.7250859106529209,0.7785394363119947
ProximalPhalanxOutlineCorrect,SVM,fine-tune,6,0.7560137457044673,0.6433526327288617
ProximalPhalanxOutlineCorrect,NN,fine-tune,6,0.8281786941580757,0.7867052654577233
ProximalPhalanxOutlineCorrect,SVM,fine-tune,7,0.7560137457044673,0.6433526327288617
ProximalPhalanxOutlineCorrect,NN,fine-tune,7,0.8178694158075601,0.717800961328381
ProximalPhalanxOutlineCorrect,SVM,fine-tune,8,0.7560137457044673,0.6433526327288617
ProximalPhalanxOutlineCorrect,NN,fine-tune,8,0.7766323024054983,0.8045389993445489
ProximalPhalanxOutlineCorrect,SVM,fine-tune,9,0.7560137457044673,0.6433526327288617
ProximalPhalanxOutlineCorrect,NN,fine-tune,9,0.8350515463917526,0.8121859296482412
ProximalPhalanxOutlineCorrect,SVM,fine-tune,10,0.7560137457044673,0.6433526327288617
ProximalPhalanxOutlineCorrect,NN,fine-tune,10,0.8384879725085911,0.7737874153375573
ProximalPhalanxOutlineCorrect,SVM,pretrained-small,1,0.7835051546391752,0.6985197727769281
ProximalPhalanxOutlineCorrect,SVM,pretrained-small,2,0.7835051546391752,0.6985197727769281
ProximalPhalanxOutlineCorrect,SVM,pretrained-small,3,0.7835051546391752,0.6985197727769281
ProximalPhalanxOutlineCorrect,SVM,pretrained-small,4,0.7835051546391752,0.6985197727769281
ProximalPhalanxOutlineCorrect,SVM,pretrained-small,5,0.7835051546391752,0.6985197727769281
ProximalPhalanxOutlineCorrect,SVM,pretrained-small,6,0.7835051546391752,0.6985197727769281
ProximalPhalanxOutlineCorrect,SVM,pretrained-small,7,0.7835051546391752,0.6985197727769281
ProximalPhalanxOutlineCorrect,SVM,pretrained-small,8,0.7835051546391752,0.6985197727769281
ProximalPhalanxOutlineCorrect,SVM,pretrained-small,9,0.7835051546391752,0.6985197727769281
ProximalPhalanxOutlineCorrect,SVM,pretrained-small,10,0.7835051546391752,0.6985197727769281
FiftyWords,SVM,fine-tune,1,0.3164835164835164,0.0820004672314269
FiftyWords,NN,fine-tune,1,0.6131868131868132,0.4615961553582297
FiftyWords,SVM,fine-tune,2,0.3164835164835164,0.0820004672314269
FiftyWords,NN,fine-tune,2,0.6373626373626373,0.5075904548324053
FiftyWords,SVM,fine-tune,3,0.3164835164835164,0.0820004672314269
FiftyWords,NN,fine-tune,3,0.6373626373626373,0.5263698769926325
FiftyWords,SVM,fine-tune,4,0.3164835164835164,0.0820004672314269
FiftyWords,NN,fine-tune,4,0.6461538461538462,0.5324235573851673
FiftyWords,SVM,fine-tune,5,0.3164835164835164,0.0820004672314269
FiftyWords,NN,fine-tune,5,0.6395604395604395,0.527520761367975
FiftyWords,SVM,fine-tune,6,0.3164835164835164,0.0820004672314269
FiftyWords,NN,fine-tune,6,0.6307692307692307,0.5281093160881087
FiftyWords,SVM,fine-tune,7,0.3164835164835164,0.0820004672314269
FiftyWords,NN,fine-tune,7,0.6263736263736264,0.4974804443234784
FiftyWords,SVM,fine-tune,8,0.3164835164835164,0.0820004672314269
FiftyWords,NN,fine-tune,8,0.6307692307692307,0.5174068689824108
FiftyWords,SVM,fine-tune,9,0.3164835164835164,0.0820004672314269
FiftyWords,NN,fine-tune,9,0.6483516483516484,0.5220551561785308
FiftyWords,SVM,fine-tune,10,0.3164835164835164,0.0820004672314269
FiftyWords,NN,fine-tune,10,0.6527472527472528,0.5521225626282902
FiftyWords,SVM,pretrained-small,1,0.3318681318681318,0.0827246997584458
FiftyWords,SVM,pretrained-small,2,0.3318681318681318,0.0827246997584458
FiftyWords,SVM,pretrained-small,3,0.3318681318681318,0.0827246997584458
FiftyWords,SVM,pretrained-small,4,0.3318681318681318,0.0827246997584458
FiftyWords,SVM,pretrained-small,5,0.3318681318681318,0.0827246997584458
FiftyWords,SVM,pretrained-small,6,0.3318681318681318,0.0827246997584458
FiftyWords,SVM,pretrained-small,7,0.3318681318681318,0.0827246997584458
FiftyWords,SVM,pretrained-small,8,0.3318681318681318,0.0827246997584458
FiftyWords,SVM,pretrained-small,9,0.3318681318681318,0.0827246997584458
FiftyWords,SVM,pretrained-small,10,0.3318681318681318,0.0827246997584458
MiddlePhalanxTW,SVM,fine-tune,1,0.5974025974025974,0.4073386034255599
MiddlePhalanxTW,NN,fine-tune,1,0.551948051948052,0.3529750925403099
MiddlePhalanxTW,SVM,fine-tune,2,0.5974025974025974,0.4073386034255599
MiddlePhalanxTW,NN,fine-tune,2,0.5,0.3860935441370223
MiddlePhalanxTW,SVM,fine-tune,3,0.5974025974025974,0.4073386034255599
MiddlePhalanxTW,NN,fine-tune,3,0.5584415584415584,0.42636436832089
MiddlePhalanxTW,SVM,fine-tune,4,0.5974025974025974,0.4073386034255599
MiddlePhalanxTW,NN,fine-tune,4,0.5454545454545454,0.3859288537549407
MiddlePhalanxTW,SVM,fine-tune,5,0.5974025974025974,0.4073386034255599
MiddlePhalanxTW,NN,fine-tune,5,0.5844155844155844,0.3957444005270092
MiddlePhalanxTW,SVM,fine-tune,6,0.5974025974025974,0.4073386034255599
MiddlePhalanxTW,NN,fine-tune,6,0.448051948051948,0.3421316686534077
MiddlePhalanxTW,SVM,fine-tune,7,0.5974025974025974,0.4073386034255599
MiddlePhalanxTW,NN,fine-tune,7,0.5194805194805194,0.3732862789384528
MiddlePhalanxTW,SVM,fine-tune,8,0.5974025974025974,0.4073386034255599
MiddlePhalanxTW,NN,fine-tune,8,0.4805194805194805,0.362463768115942
MiddlePhalanxTW,SVM,fine-tune,9,0.5974025974025974,0.4073386034255599
MiddlePhalanxTW,NN,fine-tune,9,0.474025974025974,0.3550756007277746
MiddlePhalanxTW,SVM,fine-tune,10,0.5974025974025974,0.4073386034255599
MiddlePhalanxTW,NN,fine-tune,10,0.4545454545454545,0.334428445950185
MiddlePhalanxTW,SVM,pretrained-small,1,0.564935064935065,0.4010737812911726
MiddlePhalanxTW,SVM,pretrained-small,2,0.564935064935065,0.4010737812911726
MiddlePhalanxTW,SVM,pretrained-small,3,0.564935064935065,0.4010737812911726
MiddlePhalanxTW,SVM,pretrained-small,4,0.564935064935065,0.4010737812911726
MiddlePhalanxTW,SVM,pretrained-small,5,0.564935064935065,0.4010737812911726
MiddlePhalanxTW,SVM,pretrained-small,6,0.564935064935065,0.4010737812911726
MiddlePhalanxTW,SVM,pretrained-small,7,0.564935064935065,0.4010737812911726
MiddlePhalanxTW,SVM,pretrained-small,8,0.564935064935065,0.4010737812911726
MiddlePhalanxTW,SVM,pretrained-small,9,0.564935064935065,0.4010737812911726
MiddlePhalanxTW,SVM,pretrained-small,10,0.564935064935065,0.4010737812911726
EOGHorizontalSignal,SVM,fine-tune,1,0.1629834254143646,0.1632925472747497
EOGHorizontalSignal,NN,fine-tune,1,0.2513812154696133,0.2522308738104066
EOGHorizontalSignal,SVM,fine-tune,2,0.1629834254143646,0.1632925472747497
EOGHorizontalSignal,NN,fine-tune,2,0.2320441988950276,0.2323971078976641
EOGHorizontalSignal,SVM,fine-tune,3,0.1629834254143646,0.1632925472747497
EOGHorizontalSignal,NN,fine-tune,3,0.2403314917127071,0.2408509454949944
EOGHorizontalSignal,SVM,fine-tune,4,0.1629834254143646,0.1632925472747497
EOGHorizontalSignal,NN,fine-tune,4,0.2348066298342541,0.2352953899394389
EOGHorizontalSignal,SVM,fine-tune,5,0.1629834254143646,0.1632925472747497
EOGHorizontalSignal,NN,fine-tune,5,0.2292817679558011,0.2302774687924854
EOGHorizontalSignal,SVM,fine-tune,6,0.1629834254143646,0.1632925472747497
EOGHorizontalSignal,NN,fine-tune,6,0.2403314917127071,0.2407551600543814
EOGHorizontalSignal,SVM,fine-tune,7,0.1629834254143646,0.1632925472747497
EOGHorizontalSignal,NN,fine-tune,7,0.2569060773480663,0.2569614386355209
EOGHorizontalSignal,SVM,fine-tune,8,0.1629834254143646,0.1632925472747497
EOGHorizontalSignal,NN,fine-tune,8,0.2541436464088398,0.2547274749721913
EOGHorizontalSignal,SVM,fine-tune,9,0.1629834254143646,0.1632925472747497
EOGHorizontalSignal,NN,fine-tune,9,0.2569060773480663,0.2578760351007292
EOGHorizontalSignal,SVM,fine-tune,10,0.1629834254143646,0.1632925472747497
EOGHorizontalSignal,NN,fine-tune,10,0.2403314917127071,0.2408385860833024
EOGHorizontalSignal,SVM,pretrained-small,1,0.1740331491712707,0.1739618094178717
EOGHorizontalSignal,SVM,pretrained-small,2,0.1740331491712707,0.1739618094178717
EOGHorizontalSignal,SVM,pretrained-small,3,0.1740331491712707,0.1739618094178717
EOGHorizontalSignal,SVM,pretrained-small,4,0.1740331491712707,0.1739618094178717
EOGHorizontalSignal,SVM,pretrained-small,5,0.1740331491712707,0.1739618094178717
EOGHorizontalSignal,SVM,pretrained-small,6,0.1740331491712707,0.1739618094178717
EOGHorizontalSignal,SVM,pretrained-small,7,0.1740331491712707,0.1739618094178717
EOGHorizontalSignal,SVM,pretrained-small,8,0.1740331491712707,0.1739618094178717
EOGHorizontalSignal,SVM,pretrained-small,9,0.1740331491712707,0.1739618094178717
EOGHorizontalSignal,SVM,pretrained-small,10,0.1740331491712707,0.1739618094178717
UWaveGestureLibraryX,SVM,fine-tune,1,0.2928531546621999,0.2932673866010012
UWaveGestureLibraryX,NN,fine-tune,1,0.7587939698492462,0.7568232786767073
UWaveGestureLibraryX,SVM,fine-tune,2,0.2928531546621999,0.2932673866010012
UWaveGestureLibraryX,NN,fine-tune,2,0.7548855388051368,0.7526732471932198
UWaveGestureLibraryX,SVM,fine-tune,3,0.2928531546621999,0.2932673866010012
UWaveGestureLibraryX,NN,fine-tune,3,0.7554438860971524,0.7534417066893042
UWaveGestureLibraryX,SVM,fine-tune,4,0.2928531546621999,0.2932673866010012
UWaveGestureLibraryX,NN,fine-tune,4,0.7601898380792853,0.7581878093199899
UWaveGestureLibraryX,SVM,fine-tune,5,0.2928531546621999,0.2932673866010012
UWaveGestureLibraryX,NN,fine-tune,5,0.7627024008933556,0.7607424110312209
UWaveGestureLibraryX,SVM,fine-tune,6,0.2928531546621999,0.2932673866010012
UWaveGestureLibraryX,NN,fine-tune,6,0.7540480178671134,0.752183598900174
UWaveGestureLibraryX,SVM,fine-tune,7,0.2928531546621999,0.2932673866010012
UWaveGestureLibraryX,NN,fine-tune,7,0.7487437185929648,0.7469452610221794
UWaveGestureLibraryX,SVM,fine-tune,8,0.2928531546621999,0.2932673866010012
UWaveGestureLibraryX,NN,fine-tune,8,0.7568397543271915,0.7552014287792082
UWaveGestureLibraryX,SVM,fine-tune,9,0.2928531546621999,0.2932673866010012
UWaveGestureLibraryX,NN,fine-tune,9,0.7532104969290899,0.7515437147651215
UWaveGestureLibraryX,SVM,fine-tune,10,0.2928531546621999,0.2932673866010012
UWaveGestureLibraryX,NN,fine-tune,10,0.7573981016192072,0.7554875921665812
UWaveGestureLibraryX,SVM,pretrained-small,1,0.4383026242322724,0.4366510487259879
UWaveGestureLibraryX,SVM,pretrained-small,2,0.4383026242322724,0.4366510487259879
UWaveGestureLibraryX,SVM,pretrained-small,3,0.4383026242322724,0.4366510487259879
UWaveGestureLibraryX,SVM,pretrained-small,4,0.4383026242322724,0.4366510487259879
UWaveGestureLibraryX,SVM,pretrained-small,5,0.4383026242322724,0.4366510487259879
UWaveGestureLibraryX,SVM,pretrained-small,6,0.4383026242322724,0.4366510487259879
UWaveGestureLibraryX,SVM,pretrained-small,7,0.4383026242322724,0.4366510487259879
UWaveGestureLibraryX,SVM,pretrained-small,8,0.4383026242322724,0.4366510487259879
UWaveGestureLibraryX,SVM,pretrained-small,9,0.4383026242322724,0.4366510487259879
UWaveGestureLibraryX,SVM,pretrained-small,10,0.4383026242322724,0.4366510487259879
ECG5000,SVM,fine-tune,1,0.898,0.3809641613064414
ECG5000,NN,fine-tune,1,0.9246666666666666,0.5472993616560414
ECG5000,SVM,fine-tune,2,0.898,0.3809641613064414
ECG5000,NN,fine-tune,2,0.9173333333333332,0.5565624966169559
ECG5000,SVM,fine-tune,3,0.898,0.3809641613064414
ECG5000,NN,fine-tune,3,0.91,0.5552474591925549
ECG5000,SVM,fine-tune,4,0.898,0.3809641613064414
ECG5000,NN,fine-tune,4,0.9124444444444444,0.5412325403685092
ECG5000,SVM,fine-tune,5,0.898,0.3809641613064414
ECG5000,NN,fine-tune,5,0.9204444444444444,0.5286427480260704
ECG5000,SVM,fine-tune,6,0.898,0.3809641613064414
ECG5000,NN,fine-tune,6,0.9308888888888888,0.5401537046218368
ECG5000,SVM,fine-tune,7,0.898,0.3809641613064414
ECG5000,NN,fine-tune,7,0.9262222222222222,0.5554591332367351
ECG5000,SVM,fine-tune,8,0.898,0.3809641613064414
ECG5000,NN,fine-tune,8,0.9228888888888888,0.5250142688507922
ECG5000,SVM,fine-tune,9,0.898,0.3809641613064414
ECG5000,NN,fine-tune,9,0.9213333333333332,0.5160798130634172
ECG5000,SVM,fine-tune,10,0.898,0.3809641613064414
ECG5000,NN,fine-tune,10,0.9275555555555556,0.5512339731266243
ECG5000,SVM,pretrained-small,1,0.9197777777777778,0.3909334846406332
ECG5000,SVM,pretrained-small,2,0.9197777777777778,0.3909334846406332
ECG5000,SVM,pretrained-small,3,0.9197777777777778,0.3909334846406332
ECG5000,SVM,pretrained-small,4,0.9197777777777778,0.3909334846406332
ECG5000,SVM,pretrained-small,5,0.9197777777777778,0.3909334846406332
ECG5000,SVM,pretrained-small,6,0.9197777777777778,0.3909334846406332
ECG5000,SVM,pretrained-small,7,0.9197777777777778,0.3909334846406332
ECG5000,SVM,pretrained-small,8,0.9197777777777778,0.3909334846406332
ECG5000,SVM,pretrained-small,9,0.9197777777777778,0.3909334846406332
ECG5000,SVM,pretrained-small,10,0.9197777777777778,0.3909334846406332
UWaveGestureLibraryY,SVM,fine-tune,1,0.3230039084310441,0.3254851954181986
UWaveGestureLibraryY,NN,fine-tune,1,0.6552205471803462,0.6564165371212108
UWaveGestureLibraryY,SVM,fine-tune,2,0.3230039084310441,0.3254851954181986
UWaveGestureLibraryY,NN,fine-tune,2,0.644891122278057,0.6461541647421278
UWaveGestureLibraryY,SVM,fine-tune,3,0.3230039084310441,0.3254851954181986
UWaveGestureLibraryY,NN,fine-tune,3,0.653824678950307,0.6548424856104071
UWaveGestureLibraryY,SVM,fine-tune,4,0.3230039084310441,0.3254851954181986
UWaveGestureLibraryY,NN,fine-tune,4,0.6535455053042992,0.6546464267877372
UWaveGestureLibraryY,SVM,fine-tune,5,0.3230039084310441,0.3254851954181986
UWaveGestureLibraryY,NN,fine-tune,5,0.6602456728084869,0.6615140000126973
UWaveGestureLibraryY,SVM,fine-tune,6,0.3230039084310441,0.3254851954181986
UWaveGestureLibraryY,NN,fine-tune,6,0.6549413735343383,0.6566042729698762
UWaveGestureLibraryY,SVM,fine-tune,7,0.3230039084310441,0.3254851954181986
UWaveGestureLibraryY,NN,fine-tune,7,0.664712451144612,0.6657284305984814
UWaveGestureLibraryY,SVM,fine-tune,8,0.3230039084310441,0.3254851954181986
UWaveGestureLibraryY,NN,fine-tune,8,0.6580122836404243,0.6589193756279657
UWaveGestureLibraryY,SVM,fine-tune,9,0.3230039084310441,0.3254851954181986
UWaveGestureLibraryY,NN,fine-tune,9,0.661641541038526,0.6627474596970979
UWaveGestureLibraryY,SVM,fine-tune,10,0.3230039084310441,0.3254851954181986
UWaveGestureLibraryY,NN,fine-tune,10,0.6532663316582915,0.65426480437618
UWaveGestureLibraryY,SVM,pretrained-small,1,0.4064768285873814,0.4085921066632321
UWaveGestureLibraryY,SVM,pretrained-small,2,0.4064768285873814,0.4085921066632321
UWaveGestureLibraryY,SVM,pretrained-small,3,0.4064768285873814,0.4085921066632321
UWaveGestureLibraryY,SVM,pretrained-small,4,0.4064768285873814,0.4085921066632321
UWaveGestureLibraryY,SVM,pretrained-small,5,0.4064768285873814,0.4085921066632321
UWaveGestureLibraryY,SVM,pretrained-small,6,0.4064768285873814,0.4085921066632321
UWaveGestureLibraryY,SVM,pretrained-small,7,0.4064768285873814,0.4085921066632321
UWaveGestureLibraryY,SVM,pretrained-small,8,0.4064768285873814,0.4085921066632321
UWaveGestureLibraryY,SVM,pretrained-small,9,0.4064768285873814,0.4085921066632321
UWaveGestureLibraryY,SVM,pretrained-small,10,0.4064768285873814,0.4085921066632321
DistalPhalanxTW,SVM,fine-tune,1,0.6474820143884892,0.4161793372319688
DistalPhalanxTW,NN,fine-tune,1,0.6906474820143885,0.4800623353254932
DistalPhalanxTW,SVM,fine-tune,2,0.6474820143884892,0.4161793372319688
DistalPhalanxTW,NN,fine-tune,2,0.6618705035971223,0.4593856435961699
DistalPhalanxTW,SVM,fine-tune,3,0.6474820143884892,0.4161793372319688
DistalPhalanxTW,NN,fine-tune,3,0.6402877697841727,0.4707562174667437
DistalPhalanxTW,SVM,fine-tune,4,0.6474820143884892,0.4161793372319688
DistalPhalanxTW,NN,fine-tune,4,0.6474820143884892,0.5011205899363794
DistalPhalanxTW,SVM,fine-tune,5,0.6474820143884892,0.4161793372319688
DistalPhalanxTW,NN,fine-tune,5,0.6474820143884892,0.5014258402416297
DistalPhalanxTW,SVM,fine-tune,6,0.6474820143884892,0.4161793372319688
DistalPhalanxTW,NN,fine-tune,6,0.6187050359712231,0.4933286742497269
DistalPhalanxTW,SVM,fine-tune,7,0.6474820143884892,0.4161793372319688
DistalPhalanxTW,NN,fine-tune,7,0.6474820143884892,0.5264563652721548
DistalPhalanxTW,SVM,fine-tune,8,0.6474820143884892,0.4161793372319688
DistalPhalanxTW,NN,fine-tune,8,0.6762589928057554,0.5350033738191633
DistalPhalanxTW,SVM,fine-tune,9,0.6474820143884892,0.4161793372319688
DistalPhalanxTW,NN,fine-tune,9,0.6474820143884892,0.4935576119786646
DistalPhalanxTW,SVM,fine-tune,10,0.6474820143884892,0.4161793372319688
DistalPhalanxTW,NN,fine-tune,10,0.5971223021582733,0.4918988175567123
DistalPhalanxTW,SVM,pretrained-small,1,0.6690647482014388,0.448005698005698
DistalPhalanxTW,SVM,pretrained-small,2,0.6690647482014388,0.448005698005698
DistalPhalanxTW,SVM,pretrained-small,3,0.6690647482014388,0.448005698005698
DistalPhalanxTW,SVM,pretrained-small,4,0.6690647482014388,0.448005698005698
DistalPhalanxTW,SVM,pretrained-small,5,0.6690647482014388,0.448005698005698
DistalPhalanxTW,SVM,pretrained-small,6,0.6690647482014388,0.448005698005698
DistalPhalanxTW,SVM,pretrained-small,7,0.6690647482014388,0.448005698005698
DistalPhalanxTW,SVM,pretrained-small,8,0.6690647482014388,0.448005698005698
DistalPhalanxTW,SVM,pretrained-small,9,0.6690647482014388,0.448005698005698
DistalPhalanxTW,SVM,pretrained-small,10,0.6690647482014388,0.448005698005698
NonInvasiveFetalECGThorax2,SVM,fine-tune,1,0.6870229007633588,0.6925108612599555
NonInvasiveFetalECGThorax2,NN,fine-tune,1,0.6783715012722646,0.6722101830441045
NonInvasiveFetalECGThorax2,SVM,fine-tune,2,0.6870229007633588,0.6925108612599555
NonInvasiveFetalECGThorax2,NN,fine-tune,2,0.5358778625954198,0.5259747711122182
NonInvasiveFetalECGThorax2,SVM,fine-tune,3,0.6870229007633588,0.6925108612599555
NonInvasiveFetalECGThorax2,NN,fine-tune,3,0.7893129770992366,0.7825923457186202
NonInvasiveFetalECGThorax2,SVM,fine-tune,4,0.6870229007633588,0.6925108612599555
NonInvasiveFetalECGThorax2,NN,fine-tune,4,0.8091603053435115,0.7989960230738402
NonInvasiveFetalECGThorax2,SVM,fine-tune,5,0.6870229007633588,0.6925108612599555
NonInvasiveFetalECGThorax2,NN,fine-tune,5,0.7842239185750636,0.7753778695059219
NonInvasiveFetalECGThorax2,SVM,fine-tune,6,0.6870229007633588,0.6925108612599555
NonInvasiveFetalECGThorax2,NN,fine-tune,6,0.7201017811704835,0.7089537034374224
NonInvasiveFetalECGThorax2,SVM,fine-tune,7,0.6870229007633588,0.6925108612599555
NonInvasiveFetalECGThorax2,NN,fine-tune,7,0.8040712468193384,0.7960395814681415
NonInvasiveFetalECGThorax2,SVM,fine-tune,8,0.6870229007633588,0.6925108612599555
NonInvasiveFetalECGThorax2,NN,fine-tune,8,0.8137404580152672,0.8027200908850547
NonInvasiveFetalECGThorax2,SVM,fine-tune,9,0.6870229007633588,0.6925108612599555
NonInvasiveFetalECGThorax2,NN,fine-tune,9,0.8040712468193384,0.795015167266549
NonInvasiveFetalECGThorax2,SVM,fine-tune,10,0.6870229007633588,0.6925108612599555
NonInvasiveFetalECGThorax2,NN,fine-tune,10,0.8203562340966921,0.8153800333728848
NonInvasiveFetalECGThorax2,SVM,pretrained-small,1,0.5989821882951654,0.6050397969222611
NonInvasiveFetalECGThorax2,SVM,pretrained-small,2,0.5989821882951654,0.6050397969222611
NonInvasiveFetalECGThorax2,SVM,pretrained-small,3,0.5989821882951654,0.6050397969222611
NonInvasiveFetalECGThorax2,SVM,pretrained-small,4,0.5989821882951654,0.6050397969222611
NonInvasiveFetalECGThorax2,SVM,pretrained-small,5,0.5989821882951654,0.6050397969222611
NonInvasiveFetalECGThorax2,SVM,pretrained-small,6,0.5989821882951654,0.6050397969222611
NonInvasiveFetalECGThorax2,SVM,pretrained-small,7,0.5989821882951654,0.6050397969222611
NonInvasiveFetalECGThorax2,SVM,pretrained-small,8,0.5989821882951654,0.6050397969222611
NonInvasiveFetalECGThorax2,SVM,pretrained-small,9,0.5989821882951654,0.6050397969222611
NonInvasiveFetalECGThorax2,SVM,pretrained-small,10,0.5989821882951654,0.6050397969222611
ECG200,SVM,fine-tune,1,0.71,0.6215277777777778
ECG200,NN,fine-tune,1,0.81,0.7786458333333333
ECG200,SVM,fine-tune,2,0.71,0.6215277777777778
ECG200,NN,fine-tune,2,0.79,0.7569444444444444
ECG200,SVM,fine-tune,3,0.71,0.6215277777777778
ECG200,NN,fine-tune,3,0.82,0.7803819444444444
ECG200,SVM,fine-tune,4,0.71,0.6215277777777778
ECG200,NN,fine-tune,4,0.78,0.7430555555555556
ECG200,SVM,fine-tune,5,0.71,0.6215277777777778
ECG200,NN,fine-tune,5,0.77,0.7352430555555556
ECG200,SVM,fine-tune,6,0.71,0.6215277777777778
ECG200,NN,fine-tune,6,0.8,0.7769097222222222
ECG200,SVM,fine-tune,7,0.71,0.6215277777777778
ECG200,NN,fine-tune,7,0.79,0.7508680555555556
ECG200,SVM,fine-tune,8,0.71,0.6215277777777778
ECG200,NN,fine-tune,8,0.81,0.7847222222222222
ECG200,SVM,fine-tune,9,0.71,0.6215277777777778
ECG200,NN,fine-tune,9,0.78,0.7612847222222222
ECG200,SVM,fine-tune,10,0.71,0.6215277777777778
ECG200,NN,fine-tune,10,0.81,0.7786458333333333
ECG200,SVM,pretrained-small,1,0.81,0.7664930555555556
ECG200,SVM,pretrained-small,2,0.81,0.7664930555555556
ECG200,SVM,pretrained-small,3,0.81,0.7664930555555556
ECG200,SVM,pretrained-small,4,0.81,0.7664930555555556
ECG200,SVM,pretrained-small,5,0.81,0.7664930555555556
ECG200,SVM,pretrained-small,6,0.81,0.7664930555555556
ECG200,SVM,pretrained-small,7,0.81,0.7664930555555556
ECG200,SVM,pretrained-small,8,0.81,0.7664930555555556
ECG200,SVM,pretrained-small,9,0.81,0.7664930555555556
ECG200,SVM,pretrained-small,10,0.81,0.7664930555555556
Lightning2,SVM,fine-tune,1,0.5409836065573771,0.5
Lightning2,NN,fine-tune,1,0.7540983606557377,0.751082251082251
Lightning2,SVM,fine-tune,2,0.5409836065573771,0.5
Lightning2,NN,fine-tune,2,0.7213114754098361,0.7126623376623377
Lightning2,SVM,fine-tune,3,0.5409836065573771,0.5
Lightning2,NN,fine-tune,3,0.7049180327868853,0.7002164502164503
Lightning2,SVM,fine-tune,4,0.5409836065573771,0.5
Lightning2,NN,fine-tune,4,0.7540983606557377,0.7483766233766234
Lightning2,SVM,fine-tune,5,0.5409836065573771,0.5
Lightning2,NN,fine-tune,5,0.7868852459016393,0.7867965367965368
Lightning2,SVM,fine-tune,6,0.5409836065573771,0.5
Lightning2,NN,fine-tune,6,0.7377049180327869,0.7278138528138528
Lightning2,SVM,fine-tune,7,0.5409836065573771,0.5
Lightning2,NN,fine-tune,7,0.7049180327868853,0.6920995670995671
Lightning2,SVM,fine-tune,8,0.5409836065573771,0.5
Lightning2,NN,fine-tune,8,0.7213114754098361,0.7099567099567099
Lightning2,SVM,fine-tune,9,0.5409836065573771,0.5
Lightning2,NN,fine-tune,9,0.6885245901639344,0.6796536796536796
Lightning2,SVM,fine-tune,10,0.5409836065573771,0.5
Lightning2,NN,fine-tune,10,0.7704918032786885,0.7716450216450217
Lightning2,SVM,pretrained-small,1,0.5409836065573771,0.5
Lightning2,SVM,pretrained-small,2,0.5409836065573771,0.5
Lightning2,SVM,pretrained-small,3,0.5409836065573771,0.5
Lightning2,SVM,pretrained-small,4,0.5409836065573771,0.5
Lightning2,SVM,pretrained-small,5,0.5409836065573771,0.5
Lightning2,SVM,pretrained-small,6,0.5409836065573771,0.5
Lightning2,SVM,pretrained-small,7,0.5409836065573771,0.5
Lightning2,SVM,pretrained-small,8,0.5409836065573771,0.5
Lightning2,SVM,pretrained-small,9,0.5409836065573771,0.5
Lightning2,SVM,pretrained-small,10,0.5409836065573771,0.5
Trace,SVM,fine-tune,1,0.54,0.5831874945985654
Trace,NN,fine-tune,1,0.77,0.7855603448275862
Trace,SVM,fine-tune,2,0.54,0.5831874945985654
Trace,NN,fine-tune,2,0.81,0.8236350574712643
Trace,SVM,fine-tune,3,0.54,0.5831874945985654
Trace,NN,fine-tune,3,0.8,0.8239942528735632
Trace,SVM,fine-tune,4,0.54,0.5831874945985654
Trace,NN,fine-tune,4,0.81,0.8254310344827587
Trace,SVM,fine-tune,5,0.54,0.5831874945985654
Trace,NN,fine-tune,5,0.8,0.8132183908045977
Trace,SVM,fine-tune,6,0.54,0.5831874945985654
Trace,NN,fine-tune,6,0.82,0.8358477011494253
Trace,SVM,fine-tune,7,0.54,0.5831874945985654
Trace,NN,fine-tune,7,0.78,0.7816091954022988
Trace,SVM,fine-tune,8,0.54,0.5831874945985654
Trace,NN,fine-tune,8,0.82,0.834051724137931
Trace,SVM,fine-tune,9,0.54,0.5831874945985654
Trace,NN,fine-tune,9,0.8,0.8114224137931034
Trace,SVM,fine-tune,10,0.54,0.5831874945985654
Trace,NN,fine-tune,10,0.78,0.8031609195402298
Trace,SVM,pretrained-small,1,0.53,0.5777482499351828
Trace,SVM,pretrained-small,2,0.53,0.5777482499351828
