dataset,method,mode,repetition,accuracy,balacc
InsectWingbeatSound,NN,fine-tune,9,0.456060606060606,0.456060606060606
InsectWingbeatSound,SVM,fine-tune,10,0.3555555555555555,0.3555555555555555
InsectWingbeatSound,NN,fine-tune,10,0.4414141414141414,0.4414141414141415
InsectWingbeatSound,SVM,pretrained-small,1,0.4883838383838383,0.4883838383838383
InsectWingbeatSound,SVM,pretrained-small,2,0.4883838383838383,0.4883838383838383
InsectWingbeatSound,SVM,pretrained-small,3,0.4883838383838383,0.4883838383838383
InsectWingbeatSound,SVM,pretrained-small,4,0.4883838383838383,0.4883838383838383
InsectWingbeatSound,SVM,pretrained-small,5,0.4883838383838383,0.4883838383838383
InsectWingbeatSound,SVM,pretrained-small,6,0.4883838383838383,0.4883838383838383
InsectWingbeatSound,SVM,pretrained-small,7,0.4883838383838383,0.4883838383838383
InsectWingbeatSound,SVM,pretrained-small,8,0.4883838383838383,0.4883838383838383
InsectWingbeatSound,SVM,pretrained-small,9,0.4883838383838383,0.4883838383838383
InsectWingbeatSound,SVM,pretrained-small,10,0.4883838383838383,0.4883838383838383
LargeKitchenAppliances,SVM,fine-tune,1,0.4053333333333333,0.4053333333333333
LargeKitchenAppliances,NN,fine-tune,1,0.6613333333333333,0.6613333333333333
LargeKitchenAppliances,SVM,fine-tune,2,0.4053333333333333,0.4053333333333333
LargeKitchenAppliances,NN,fine-tune,2,0.6826666666666666,0.6826666666666666
LargeKitchenAppliances,SVM,fine-tune,3,0.4053333333333333,0.4053333333333333
LargeKitchenAppliances,NN,fine-tune,3,0.6773333333333333,0.6773333333333333
LargeKitchenAppliances,SVM,fine-tune,4,0.4053333333333333,0.4053333333333333
LargeKitchenAppliances,NN,fine-tune,4,0.6586666666666666,0.6586666666666666
LargeKitchenAppliances,SVM,fine-tune,5,0.4053333333333333,0.4053333333333333
LargeKitchenAppliances,NN,fine-tune,5,0.6693333333333333,0.6693333333333333
LargeKitchenAppliances,SVM,fine-tune,6,0.4053333333333333,0.4053333333333333
LargeKitchenAppliances,NN,fine-tune,6,0.6853333333333333,0.6853333333333333
LargeKitchenAppliances,SVM,fine-tune,7,0.4053333333333333,0.4053333333333333
LargeKitchenAppliances,NN,fine-tune,7,0.664,0.664
LargeKitchenAppliances,SVM,fine-tune,8,0.4053333333333333,0.4053333333333333
LargeKitchenAppliances,NN,fine-tune,8,0.6506666666666666,0.6506666666666666
LargeKitchenAppliances,SVM,fine-tune,9,0.4053333333333333,0.4053333333333333
LargeKitchenAppliances,NN,fine-tune,9,0.68,0.68
LargeKitchenAppliances,SVM,fine-tune,10,0.4053333333333333,0.4053333333333333
LargeKitchenAppliances,NN,fine-tune,10,0.64,0.64
LargeKitchenAppliances,SVM,pretrained-small,1,0.416,0.416
LargeKitchenAppliances,SVM,pretrained-small,2,0.416,0.416
LargeKitchenAppliances,SVM,pretrained-small,3,0.416,0.416
LargeKitchenAppliances,SVM,pretrained-small,4,0.416,0.416
LargeKitchenAppliances,SVM,pretrained-small,5,0.416,0.416
LargeKitchenAppliances,SVM,pretrained-small,6,0.416,0.416
LargeKitchenAppliances,SVM,pretrained-small,7,0.416,0.416
LargeKitchenAppliances,SVM,pretrained-small,8,0.416,0.416
LargeKitchenAppliances,SVM,pretrained-small,9,0.416,0.416
LargeKitchenAppliances,SVM,pretrained-small,10,0.416,0.416
Earthquakes,SVM,fine-tune,1,0.7482014388489209,0.5
Earthquakes,NN,fine-tune,1,0.697841726618705,0.5042582417582417
Earthquakes,SVM,fine-tune,2,0.7482014388489209,0.5
Earthquakes,NN,fine-tune,2,0.697841726618705,0.5232142857142857
Earthquakes,SVM,fine-tune,3,0.7482014388489209,0.5
Earthquakes,NN,fine-tune,3,0.7050359712230215,0.5375
Earthquakes,SVM,fine-tune,4,0.7482014388489209,0.5
Earthquakes,NN,fine-tune,4,0.7194244604316546,0.5376373626373626
Earthquakes,SVM,fine-tune,5,0.7482014388489209,0.5
Earthquakes,NN,fine-tune,5,0.7122302158273381,0.5517857142857143
Earthquakes,SVM,fine-tune,6,0.7482014388489209,0.5
Earthquakes,NN,fine-tune,6,0.6906474820143885,0.5184065934065935
Earthquakes,SVM,fine-tune,7,0.7482014388489209,0.5
Earthquakes,NN,fine-tune,7,0.7050359712230215,0.546978021978022
Earthquakes,SVM,fine-tune,8,0.7482014388489209,0.5
Earthquakes,NN,fine-tune,8,0.7050359712230215,0.546978021978022
Earthquakes,SVM,fine-tune,9,0.7482014388489209,0.5
Earthquakes,NN,fine-tune,9,0.697841726618705,0.5232142857142857
Earthquakes,SVM,fine-tune,10,0.7482014388489209,0.5
Earthquakes,NN,fine-tune,10,0.6762589928057554,0.4993131868131868
Earthquakes,SVM,pretrained-small,1,0.7482014388489209,0.5
Earthquakes,SVM,pretrained-small,2,0.7482014388489209,0.5
Earthquakes,SVM,pretrained-small,3,0.7482014388489209,0.5
Earthquakes,SVM,pretrained-small,4,0.7482014388489209,0.5
Earthquakes,SVM,pretrained-small,5,0.7482014388489209,0.5
Earthquakes,SVM,pretrained-small,6,0.7482014388489209,0.5
Earthquakes,SVM,pretrained-small,7,0.7482014388489209,0.5
Earthquakes,SVM,pretrained-small,8,0.7482014388489209,0.5
Earthquakes,SVM,pretrained-small,9,0.7482014388489209,0.5
Earthquakes,SVM,pretrained-small,10,0.7482014388489209,0.5
SonyAIBORobotSurface1,SVM,fine-tune,1,0.4525790349417637,0.5194476461681018
SonyAIBORobotSurface1,NN,fine-tune,1,0.6422628951747088,0.6712206477275295
SonyAIBORobotSurface1,SVM,fine-tune,2,0.4525790349417637,0.5194476461681018
SonyAIBORobotSurface1,NN,fine-tune,2,0.6505823627287853,0.6765882432707302
SonyAIBORobotSurface1,SVM,fine-tune,3,0.4525790349417637,0.5194476461681018
SonyAIBORobotSurface1,NN,fine-tune,3,0.6405990016638935,0.6654405948425882
SonyAIBORobotSurface1,SVM,fine-tune,4,0.4525790349417637,0.5194476461681018
SonyAIBORobotSurface1,NN,fine-tune,4,0.6439267886855241,0.6712375980292449
SonyAIBORobotSurface1,SVM,fine-tune,5,0.4525790349417637,0.5194476461681018
SonyAIBORobotSurface1,NN,fine-tune,5,0.6339434276206323,0.669214862024544
SonyAIBORobotSurface1,SVM,fine-tune,6,0.4525790349417637,0.5194476461681018
SonyAIBORobotSurface1,NN,fine-tune,6,0.6206322795341098,0.657072795895767
SonyAIBORobotSurface1,SVM,fine-tune,7,0.4525790349417637,0.5194476461681018
SonyAIBORobotSurface1,NN,fine-tune,7,0.6405990016638935,0.6731247316202229
SonyAIBORobotSurface1,SVM,fine-tune,8,0.4525790349417637,0.5194476461681018
SonyAIBORobotSurface1,NN,fine-tune,8,0.6422628951747088,0.6745824575677447
SonyAIBORobotSurface1,SVM,fine-tune,9,0.4525790349417637,0.5194476461681018
SonyAIBORobotSurface1,NN,fine-tune,9,0.6356073211314476,0.6692318123262594
SonyAIBORobotSurface1,SVM,fine-tune,10,0.4525790349417637,0.5194476461681018
SonyAIBORobotSurface1,NN,fine-tune,10,0.6455906821963394,0.6779781680113905
SonyAIBORobotSurface1,SVM,pretrained-small,1,0.4675540765391014,0.5335276967930029
SonyAIBORobotSurface1,SVM,pretrained-small,2,0.4675540765391014,0.5335276967930029
SonyAIBORobotSurface1,SVM,pretrained-small,3,0.4675540765391014,0.5335276967930029
SonyAIBORobotSurface1,SVM,pretrained-small,4,0.4675540765391014,0.5335276967930029
SonyAIBORobotSurface1,SVM,pretrained-small,5,0.4675540765391014,0.5335276967930029
SonyAIBORobotSurface1,SVM,pretrained-small,6,0.4675540765391014,0.5335276967930029
SonyAIBORobotSurface1,SVM,pretrained-small,7,0.4675540765391014,0.5335276967930029
SonyAIBORobotSurface1,SVM,pretrained-small,8,0.4675540765391014,0.5335276967930029
SonyAIBORobotSurface1,SVM,pretrained-small,9,0.4675540765391014,0.5335276967930029
SonyAIBORobotSurface1,SVM,pretrained-small,10,0.4675540765391014,0.5335276967930029
ECGFiveDays,SVM,fine-tune,1,0.7015098722415796,0.7022754743044614
ECGFiveDays,NN,fine-tune,1,0.8281068524970964,0.8282089745526753
ECGFiveDays,SVM,fine-tune,2,0.7015098722415796,0.7022754743044614
ECGFiveDays,NN,fine-tune,2,0.826945412311266,0.8272161187973495
ECGFiveDays,SVM,fine-tune,3,0.7015098722415796,0.7022754743044614
ECGFiveDays,NN,fine-tune,3,0.7990708478513356,0.799381083939479
ECGFiveDays,SVM,fine-tune,4,0.7015098722415796,0.7022754743044614
ECGFiveDays,NN,fine-tune,4,0.8130081300813008,0.8131164878806847
ECGFiveDays,SVM,fine-tune,5,0.7015098722415796,0.7022754743044614
ECGFiveDays,NN,fine-tune,5,0.8025551684088269,0.8028992467246552
ECGFiveDays,SVM,fine-tune,6,0.7015098722415796,0.7022754743044614
ECGFiveDays,NN,fine-tune,6,0.8257839721254355,0.8258455461785845
ECGFiveDays,SVM,fine-tune,7,0.7015098722415796,0.7022754743044614
ECGFiveDays,NN,fine-tune,7,0.8304297328687572,0.8304509939349464
ECGFiveDays,SVM,fine-tune,8,0.7015098722415796,0.7022754743044614
ECGFiveDays,NN,fine-tune,8,0.8315911730545877,0.8316192182340119
ECGFiveDays,SVM,fine-tune,9,0.7015098722415796,0.7022754743044614
ECGFiveDays,NN,fine-tune,9,0.8373983739837398,0.837446849841359
ECGFiveDays,SVM,fine-tune,10,0.7015098722415796,0.7022754743044614
ECGFiveDays,NN,fine-tune,10,0.8281068524970964,0.8282629341045953
ECGFiveDays,SVM,pretrained-small,1,0.4970963995354239,0.5
