dataset,method,mode,repetition,accuracy
MedicalImages,SVM,fine-tune,10,0.5421052631578948
MedicalImages,NN,fine-tune,10,0.5157894736842106
MedicalImages,SVM,pretrained-small,1,0.5184210526315789
MedicalImages,NN,pretrained-small,1,0.6236842105263158
MedicalImages,SVM,pretrained-small,2,0.5184210526315789
MedicalImages,NN,pretrained-small,2,0.6236842105263158
MedicalImages,SVM,pretrained-small,3,0.5184210526315789
MedicalImages,NN,pretrained-small,3,0.6223684210526316
MedicalImages,SVM,pretrained-small,4,0.5184210526315789
MedicalImages,NN,pretrained-small,4,0.6223684210526316
MedicalImages,SVM,pretrained-small,5,0.5184210526315789
MedicalImages,NN,pretrained-small,5,0.6210526315789474
MedicalImages,SVM,pretrained-small,6,0.5184210526315789
MedicalImages,NN,pretrained-small,6,0.618421052631579
MedicalImages,SVM,pretrained-small,7,0.5184210526315789
MedicalImages,NN,pretrained-small,7,0.6039473684210527
MedicalImages,SVM,pretrained-small,8,0.5184210526315789
MedicalImages,NN,pretrained-small,8,0.6197368421052631
MedicalImages,SVM,pretrained-small,9,0.5184210526315789
MedicalImages,NN,pretrained-small,9,0.6381578947368421
MedicalImages,SVM,pretrained-small,10,0.5184210526315789
MedicalImages,NN,pretrained-small,10,0.618421052631579
ECGFiveDays,SVM,fine-tune,1,0.9128919860627178
ECGFiveDays,NN,fine-tune,1,0.89198606271777
ECGFiveDays,SVM,fine-tune,2,0.9128919860627178
ECGFiveDays,NN,fine-tune,2,0.89198606271777
ECGFiveDays,SVM,fine-tune,3,0.9128919860627178
ECGFiveDays,NN,fine-tune,3,0.89198606271777
ECGFiveDays,SVM,fine-tune,4,0.9128919860627178
ECGFiveDays,NN,fine-tune,4,0.89198606271777
ECGFiveDays,SVM,fine-tune,5,0.9128919860627178
ECGFiveDays,NN,fine-tune,5,0.89198606271777
ECGFiveDays,SVM,fine-tune,6,0.9128919860627178
ECGFiveDays,NN,fine-tune,6,0.89198606271777
ECGFiveDays,SVM,fine-tune,7,0.9128919860627178
ECGFiveDays,NN,fine-tune,7,0.89198606271777
ECGFiveDays,SVM,fine-tune,8,0.9128919860627178
ECGFiveDays,NN,fine-tune,8,0.89198606271777
ECGFiveDays,SVM,fine-tune,9,0.9128919860627178
ECGFiveDays,NN,fine-tune,9,0.89198606271777
ECGFiveDays,SVM,fine-tune,10,0.9128919860627178
ECGFiveDays,NN,fine-tune,10,0.89198606271777
ECGFiveDays,SVM,pretrained-small,1,0.5505226480836237
ECGFiveDays,NN,pretrained-small,1,0.7851335656213705
ECGFiveDays,SVM,pretrained-small,2,0.5505226480836237
ECGFiveDays,NN,pretrained-small,2,0.7851335656213705
ECGFiveDays,SVM,pretrained-small,3,0.5505226480836237
ECGFiveDays,NN,pretrained-small,3,0.7851335656213705
ECGFiveDays,SVM,pretrained-small,4,0.5505226480836237
ECGFiveDays,NN,pretrained-small,4,0.7851335656213705
ECGFiveDays,SVM,pretrained-small,5,0.5505226480836237
ECGFiveDays,NN,pretrained-small,5,0.7851335656213705
ECGFiveDays,SVM,pretrained-small,6,0.5505226480836237
ECGFiveDays,NN,pretrained-small,6,0.7851335656213705
ECGFiveDays,SVM,pretrained-small,7,0.5505226480836237
ECGFiveDays,NN,pretrained-small,7,0.7851335656213705
ECGFiveDays,SVM,pretrained-small,8,0.5505226480836237
ECGFiveDays,NN,pretrained-small,8,0.7851335656213705
ECGFiveDays,SVM,pretrained-small,9,0.5505226480836237
ECGFiveDays,NN,pretrained-small,9,0.7851335656213705
ECGFiveDays,SVM,pretrained-small,10,0.5505226480836237
ECGFiveDays,NN,pretrained-small,10,0.7851335656213705
CricketZ,SVM,fine-tune,1,0.20256410256410257
CricketZ,NN,fine-tune,1,0.2743589743589744
